PAC,long,lat
NODE#424245231,-43.15654085737464,-19.815597799199054
NODE#424245615,-43.171766697974704,-19.808972967628335
NODE#424312243,-43.136312693475986,-19.820964923492397
NODE#424246240,-43.16347173363357,-19.81395405163812
NODE#1136218165,-43.154338250409864,-19.815671971684083
100#1086940520,-43.13684428093876,-19.82353393854038
100#351815932,-43.159198631911295,-19.821937656297735
NODE#433298743,-43.166736201614356,-19.83450103869194
NODE#445010912,-43.15794157214577,-19.823008939510885
NODE#424312262,-43.14052383550654,-19.819599510708827
NODE#424244737,-43.176150919029624,-19.80738194821828
NODE#442497727,-43.161036829086356,-19.822592125326253
NODE#445012455,-43.15101955241039,-19.82008322905773
NODE#433472878,-43.153260513661735,-19.816075185421425
NODE#445011486,-43.156931119975184,-19.813915848437603
NODE#445009506,-43.1627286319208,-19.809628740673816
NODE#433298263,-43.17087931892536,-19.817209963468997
NODE#424246570,-43.15865362926155,-19.820770429811432
NODE#442498137,-43.16509919177423,-19.831109889509776
NODE#424245340,-43.154266044742144,-19.815763512775845
NODE#433642919,-43.13789677281778,-19.820627235258655
NODE#434600283,-43.14879111601715,-19.818620814498956
NODE#445011327,-43.15594356904046,-19.82771739943837
NODE#445009991,-43.16253538739818,-19.828875307149644
NODE#445012221,-43.15531417041257,-19.81877304004371
NODE#445012050,-43.15425996802304,-19.81633023045572
NODE#1136793623,-43.148992877119554,-19.820376563627462
NODE#433472238,-43.157827673908,-19.831339731043727
NODE#424245131,-43.163138740760246,-19.815357059680537
NODE#424244242,-43.181119805534536,-19.808807933938965
NODE#433474417,-43.13663265157555,-19.82045201854578
NODE#1981522216,-43.152825877612145,-19.822590737672385
NODE#424245380,-43.15322134369001,-19.815757273279473
NODE#445012666,-43.1551556181372,-19.81906394014868
NODE#1214420867,-43.17073614955359,-19.81874207458702
NODE#445011037,-43.158891057476296,-19.831491746147094
NODE#1214420866,-43.17061471949364,-19.81839935464643
NODE#424246944,-43.14320879924662,-19.819255259222814
NODE#445010127,-43.162109090761874,-19.82613699922308
NODE#444896768,-43.180826483555336,-19.808387077301745
NODE#445009697,-43.16283769900059,-19.809902239796486
NODE#424245480,-43.15745842486638,-19.81702750991161
NODE#445010947,-43.15892784784188,-19.81280784230802
NODE#433474363,-43.13676604981333,-19.822390594450326
NODE#433474577,-43.13847221572013,-19.821730044206106
NODE#424311613,-43.14929186572698,-19.817459381445246
NODE#444956699,-43.170276022220605,-19.81652678448347
NODE#433296878,-43.172777075501585,-19.820014730395428
NODE#442497807,-43.161463687798914,-19.823309148498367
NODE#424245471,-43.15820860874027,-19.820440682591368
NODE#433472273,-43.157630008318165,-19.823974097326698
NODE#445009512,-43.1625630712287,-19.80945127115922
NODE#445012250,-43.1517167563232,-19.820782096716357
NODE#424245286,-43.15528847947968,-19.815442239867423
NODE#445010072,-43.16198713100124,-19.804182442765466
NODE#445012681,-43.14869763059113,-19.81978499318285
NODE#445010901,-43.15867090074141,-19.830266744514574
NODE#424311703,-43.14909681536568,-19.818098175290515
NODE#444955864,-43.169703525497255,-19.816494143589807
NODE#445010391,-43.157896923504154,-19.82813496365759
NODE#445010191,-43.16137415938988,-19.80740668227253
NODE#445012580,-43.14537154556035,-19.827536661787462
